name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hồ Chí Minh, Việt Nam",2000-01-11,34.1,23.7,28.7,39.5,23.7,31.9,23.4,74.1,,0.0,0.0,,,,,25.2,100.1,,41.0,9.7,,,,,06:14:42,17:46:54,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-12,33.1,24.4,28.7,38.2,24.4,31.6,23.0,72.4,,0.0,0.0,,,,,18.0,107.6,,32.2,11.0,,,,,06:14:58,17:47:26,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-13,33.1,24.1,28.2,39.4,24.1,31.0,23.4,76.2,,0.0,0.0,,,,,21.6,142.2,,43.2,9.1,,,,,06:15:13,17:47:58,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-14,32.2,24.9,27.9,37.7,24.9,30.4,23.9,79.9,,0.0,0.0,,,,,21.6,117.6,,49.0,10.3,,,,,06:15:27,17:48:29,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-15,32.1,25.1,28.4,36.9,25.1,31.2,23.3,74.9,,0.0,0.0,,,,,14.4,117.9,,56.7,9.3,,,,,06:15:40,17:49:01,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-16,34.1,23.1,28.6,38.4,23.1,31.1,23.0,73.8,,0.0,0.0,,,,,21.6,101.1,,35.8,9.5,,,,,06:15:52,17:49:31,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-17,33.1,24.7,28.3,38.2,24.7,31.1,23.4,75.9,,0.0,0.0,,,,,14.4,109.8,,54.5,9.1,,,,,06:16:03,17:50:02,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-18,32.1,24.1,27.3,39.3,24.1,29.9,24.0,82.8,,0.0,0.0,,,,,18.0,116.5,,70.0,7.6,,,,,06:16:13,17:50:32,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-19,31.1,23.1,27.4,35.6,23.1,29.4,22.6,76.9,,0.0,0.0,,,,,14.4,138.4,,51.6,7.6,,,,,06:16:22,17:51:02,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-20,31.4,22.1,26.7,33.5,22.1,28.0,21.6,75.4,,0.0,0.0,,,,,14.4,70.5,,40.0,7.6,,,,,06:16:30,17:51:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-21,31.1,21.1,26.6,32.7,21.1,27.6,20.4,70.4,,0.0,0.0,,,,,14.4,18.2,,42.2,9.5,,,,,06:16:37,17:52:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-22,31.1,21.1,26.0,33.8,21.1,27.1,20.7,73.8,,0.0,0.0,,,,,10.8,17.5,,68.9,7.3,,,,,06:16:43,17:52:28,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-23,32.2,23.1,26.9,36.9,23.1,28.5,23.1,81.5,,0.0,0.0,,,,,21.6,69.8,,72.0,6.3,,,,,06:16:48,17:52:56,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-24,33.1,23.7,28.1,37.1,23.7,30.6,23.1,75.9,,0.0,0.0,,,,,18.0,72.9,,68.1,9.5,,,,,06:16:52,17:53:23,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-25,32.4,22.9,28.3,35.2,22.9,30.5,21.9,70.0,,0.0,0.0,,,,,25.2,69.5,,53.2,9.5,,,,,06:16:55,17:53:50,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-26,31.1,22.1,27.5,33.8,22.1,28.7,21.0,69.6,,0.0,0.0,,,,,18.0,36.1,,61.0,10.1,,,,,06:16:57,17:54:16,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-27,31.1,23.9,27.4,33.1,23.9,28.6,20.4,66.5,,0.0,0.0,,,,,18.0,22.0,,75.3,10.6,,,,,06:16:58,17:54:42,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-28,32.1,20.1,26.3,33.6,20.1,27.1,18.7,64.5,,0.0,0.0,,,,,18.0,45.8,,45.5,10.6,,,,,06:16:58,17:55:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-29,31.1,20.1,26.1,33.1,20.1,27.4,20.1,70.9,,0.0,0.0,,,,,14.4,39.0,,76.0,8.6,,,,,06:16:56,17:55:32,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-30,30.1,22.1,26.5,33.4,22.1,27.9,20.7,71.3,,0.0,0.0,,,,,14.4,32.1,,63.5,9.7,,,,,06:16:54,17:55:56,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-31,31.4,20.9,26.8,32.9,20.9,27.5,18.5,61.7,,0.0,0.0,,,,,18.0,13.2,,53.5,9.6,,,,,06:16:50,17:56:20,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-01,31.7,22.4,26.3,32.6,22.4,26.9,19.0,65.2,,0.0,0.0,,,,,18.0,18.3,,56.5,10.6,,,,,06:16:46,17:56:42,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-02,32.1,20.1,26.2,34.3,20.1,27.0,19.7,68.9,,0.0,0.0,,,,,14.4,16.4,,43.0,8.7,,,,,06:16:41,17:57:05,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-03,31.1,21.6,26.6,32.6,21.6,27.8,21.2,73.8,,0.0,0.0,,,,,14.4,257.3,,55.5,8.5,,,,,06:16:34,17:57:26,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-04,32.1,21.7,27.0,36.9,21.7,28.8,22.5,77.7,,0.0,0.0,,,,,18.0,119.1,,50.5,8.0,,,,,06:16:26,17:57:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-05,33.1,23.1,27.5,37.1,23.1,29.4,22.8,77.6,,0.0,0.0,,,,,14.4,306.4,,62.5,9.4,,,,,06:16:18,17:58:08,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-06,31.1,23.7,27.6,33.8,23.7,29.6,22.4,74.7,,0.0,0.0,,,,,14.4,20.7,,70.5,9.6,,,,,06:16:08,17:58:27,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-07,31.1,22.9,26.7,36.7,22.9,28.4,22.5,78.4,,0.0,0.0,,,,,14.4,130.5,,79.5,9.0,,,,,06:15:58,17:58:46,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-08,32.1,24.1,27.4,35.9,24.1,28.9,22.6,76.3,,0.0,0.0,,,,,14.4,229.4,,59.0,10.2,,,,,06:15:46,17:59:05,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-09,33.1,23.7,27.9,37.1,23.7,29.3,21.4,69.3,,0.0,0.0,,,,,14.4,177.5,,70.0,10.3,,,,,06:15:34,17:59:23,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-10,32.1,22.1,27.3,35.0,22.1,28.6,21.6,73.4,,0.0,0.0,,,,,18.0,331.4,,52.5,7.6,,,,,06:15:20,17:59:40,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-11,33.1,22.7,27.6,36.2,22.7,29.1,22.4,75.6,,0.0,0.0,,,,,21.6,117.4,,70.0,7.3,,,,,06:15:06,17:59:56,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-12,32.1,22.1,27.1,35.9,22.1,28.9,22.1,75.6,,0.0,0.0,,,,,18.0,76.4,,55.3,8.8,,,,,06:14:50,18:00:12,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-13,33.1,24.7,28.3,38.2,24.7,31.3,23.7,76.8,,0.0,0.0,,,,,18.0,129.0,,54.0,10.2,,,,,06:14:34,18:00:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-14,32.4,25.1,28.4,39.3,25.1,31.5,23.6,75.9,,0.0,0.0,,,,,21.6,118.5,,47.5,10.6,,,,,06:14:17,18:00:42,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-15,32.9,24.1,27.5,37.7,24.1,29.9,23.4,79.4,,0.0,0.0,,,,,18.0,103.6,,42.1,9.2,,,,,06:13:59,18:00:56,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-16,34.1,24.1,28.9,36.9,24.1,30.8,21.6,66.6,,0.0,0.0,,,,,18.0,123.8,,49.0,9.5,,,,,06:13:40,18:01:10,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-17,33.1,24.1,29.1,38.2,24.1,32.2,22.7,69.2,,0.0,0.0,,,,,18.0,100.5,,41.1,8.3,,,,,06:13:20,18:01:23,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-18,34.1,25.1,29.3,39.4,25.1,32.4,23.1,70.3,,0.0,0.0,,,,,21.6,119.8,,42.5,10.6,,,,,06:12:59,18:01:35,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-19,33.1,25.1,28.1,38.2,25.1,30.4,23.8,78.6,,0.0,0.0,,,,,28.8,131.0,,42.5,10.2,,,,,06:12:38,18:01:46,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-20,33.1,25.1,28.3,39.4,25.1,31.6,24.1,78.8,,0.0,0.0,,,,,18.0,134.9,,54.7,10.6,,,,,06:12:16,18:01:57,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-21,33.1,25.1,28.8,40.7,25.1,32.6,24.6,79.2,,0.0,0.0,,,,,18.0,132.3,,51.8,10.5,,,,,06:11:53,18:02:08,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-22,33.1,24.9,28.5,40.7,24.9,32.1,24.5,80.2,,0.0,0.0,,,,,18.0,131.3,,51.1,10.1,,,,,06:11:29,18:02:18,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-23,33.1,26.1,28.7,40.7,26.1,32.5,24.3,77.8,,0.0,0.0,,,,,21.6,135.6,,67.1,10.6,,,,,06:11:04,18:02:27,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-24,33.1,26.1,29.2,40.7,26.1,33.2,24.2,75.4,,0.0,0.0,,,,,21.6,131.7,,45.8,10.4,,,,,06:10:39,18:02:36,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-25,33.1,26.1,28.9,39.8,26.1,32.9,24.4,77.2,,0.0,0.0,,,,,10.8,84.3,,65.0,9.3,,,,,06:10:13,18:02:44,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-26,33.1,24.1,28.5,38.2,24.1,31.7,23.8,77.1,,0.0,0.0,,,,,18.0,160.3,,50.0,8.6,,,,,06:09:47,18:02:52,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-27,30.1,22.1,25.1,33.4,22.1,25.7,22.5,86.3,,0.0,0.0,,,,,10.8,352.5,,76.8,9.2,,,,,06:09:19,18:02:59,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-28,31.1,22.9,26.3,35.6,22.9,27.9,22.9,82.7,,0.0,0.0,,,,,21.6,34.5,,76.3,9.6,,,,,06:08:51,18:03:06,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-02-29,34.1,23.1,28.2,39.5,23.1,31.0,23.1,75.2,,0.0,0.0,,,,,21.6,65.7,,54.5,9.6,,,,,06:08:23,18:03:12,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-01,34.1,23.1,28.7,39.5,23.1,31.0,21.9,68.6,,0.0,0.0,,,,,25.2,110.3,,35.8,9.5,,,,,06:07:54,18:03:18,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-02,33.1,24.1,28.8,40.7,24.1,32.2,23.4,73.8,,0.0,0.0,,,,,21.6,99.8,,53.9,9.8,,,,,06:07:24,18:03:24,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-03,32.6,25.1,28.5,37.0,25.1,31.3,23.0,73.1,,0.0,0.0,,,,,14.4,98.4,,55.0,10.6,,,,,06:06:54,18:03:29,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-04,33.1,25.1,28.9,39.4,25.1,32.4,23.8,74.8,,0.0,0.0,,,,,18.0,1.2,,56.5,9.4,,,,,06:06:23,18:03:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-05,32.1,22.7,28.3,39.5,22.7,32.3,24.5,80.5,,0.0,0.0,,,,,18.0,217.0,,57.5,7.8,,,,,06:05:52,18:03:37,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-06,32.1,25.1,28.7,39.3,25.1,32.7,24.8,80.6,,0.0,0.0,,,,,14.4,153.1,,80.5,7.8,,,,,06:05:20,18:03:41,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-07,31.1,25.7,28.2,37.9,25.7,31.7,24.7,81.6,,0.0,0.0,,,,,21.6,169.1,,69.0,8.7,,,,,06:04:48,18:03:45,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-08,32.1,24.9,27.8,39.3,24.9,30.3,24.2,82.0,,0.0,0.0,,,,,18.0,166.8,,74.2,7.9,,,,,06:04:16,18:03:48,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-09,33.1,24.1,28.9,42.3,24.1,33.3,24.7,79.2,,0.0,0.0,,,,,14.4,199.9,,62.0,5.8,,,,,06:03:43,18:03:50,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-10,33.4,24.1,28.8,40.7,24.1,32.7,24.5,79.0,,0.0,0.0,,,,,18.0,92.0,,50.5,6.8,,,,,06:03:10,18:03:53,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-11,32.4,26.1,29.1,40.8,26.1,33.7,24.8,78.1,,0.0,0.0,,,,,14.4,129.7,,61.1,10.6,,,,,06:02:36,18:03:55,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-12,33.1,26.1,29.3,40.7,26.1,34.2,25.3,79.9,,0.0,0.0,,,,,14.4,146.5,,57.5,9.1,,,,,06:02:02,18:03:57,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-13,33.2,22.1,28.2,40.9,22.1,32.5,25.3,85.0,,0.0,0.0,,,,,25.2,118.7,,67.0,6.2,,,,,06:01:28,18:03:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-14,32.6,25.1,28.2,39.3,25.1,31.7,24.6,81.9,,0.0,0.0,,,,,21.6,131.3,,49.5,9.8,,,,,06:00:53,18:04:00,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-15,32.1,24.1,28.2,38.0,24.1,31.5,23.9,78.6,,0.0,0.0,,,,,18.0,118.3,,65.0,9.3,,,,,06:00:18,18:04:01,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-16,33.2,26.1,29.2,39.7,26.1,33.2,24.4,76.5,,0.0,0.0,,,,,18.0,130.7,,62.0,9.0,,,,,05:59:43,18:04:02,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-17,33.1,26.1,29.0,39.4,26.1,32.8,24.4,77.1,,0.0,0.0,,,,,18.0,131.7,,60.0,10.3,,,,,05:59:08,18:04:03,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-18,32.1,26.1,28.6,37.8,26.1,32.0,24.0,76.7,,0.0,0.0,,,,,18.0,111.8,,59.4,10.1,,,,,05:58:32,18:04:03,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-19,33.1,25.9,29.1,39.4,25.9,32.8,24.0,74.9,,0.0,0.0,,,,,14.4,136.7,,52.5,8.3,,,,,05:57:57,18:04:04,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-20,32.2,25.6,29.1,39.2,25.6,33.1,23.9,74.1,,0.0,0.0,,,,,18.0,144.6,,55.9,7.7,,,,,05:57:21,18:04:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-21,34.1,25.1,28.9,39.5,25.1,32.4,23.4,72.7,,0.0,0.0,,,,,21.6,104.2,,54.3,7.2,,,,,05:56:45,18:04:04,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-22,33.1,25.9,28.9,38.0,25.9,32.1,23.7,74.9,,0.0,0.0,,,,,21.6,134.4,,73.0,9.7,,,,,05:56:09,18:04:04,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-23,32.1,25.1,28.6,38.0,25.1,31.8,23.9,76.7,,0.0,0.0,,,,,14.4,136.3,,75.0,7.6,,,,,05:55:33,18:04:04,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-24,34.1,24.1,29.6,38.9,24.1,32.5,22.8,69.0,,0.0,0.0,,,,,18.0,65.0,,60.0,7.7,,,,,05:54:57,18:04:04,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-25,34.1,25.1,29.9,39.5,25.1,33.5,23.3,69.0,,0.0,0.0,,,,,14.4,124.2,,71.0,6.0,,,,,05:54:20,18:04:04,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-26,33.6,23.9,27.2,37.1,23.9,28.7,23.1,80.3,,0.0,0.0,,,,,25.2,76.0,,58.2,6.8,,,,,05:53:44,18:04:04,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-27,33.1,23.1,28.5,38.2,23.1,31.2,22.7,72.5,,0.0,0.0,,,,,14.4,68.5,,54.0,9.4,,,,,05:53:08,18:04:04,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-28,33.1,24.1,28.8,40.9,24.1,32.6,23.9,76.1,,0.0,0.0,,,,,25.2,155.7,,43.5,9.0,,,,,05:52:32,18:04:04,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-29,33.1,24.1,29.0,38.4,24.1,32.1,23.2,72.3,,0.0,0.0,,,,,18.0,102.1,,66.0,8.6,,,,,05:51:56,18:04:04,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-30,33.1,25.1,29.3,38.2,25.1,32.4,22.7,68.7,,0.0,0.0,,,,,18.0,116.5,,46.0,7.7,,,,,05:51:20,18:04:04,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-03-31,33.1,25.1,28.7,40.7,25.1,32.2,24.1,77.1,,0.0,0.0,,,,,21.6,139.4,,38.9,9.9,,,,,05:50:44,18:04:03,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-04-01,33.2,25.4,29.4,40.7,25.4,33.8,24.7,77.1,,0.0,0.0,,,,,18.0,132.3,,66.5,7.8,,,,,05:50:09,18:04:03,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-04-02,34.1,27.1,30.0,43.7,30.8,36.0,25.2,76.4,,0.0,0.0,,,,,18.0,144.1,,59.5,9.8,,,,,05:49:33,18:04:04,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
